Job Title,Job Company,Job Location,Job Type,Job Pay,Job Excerpt
Public Health Nurse - COVID-19 Response,Mohave County,"Kingman, AZ 86402",Not remote,Pay details not available,"

Communicates and acts in a professional manner with the public, co-workers, and work contacts.
Communicating and maintaining professionalism (demonstrating…
"
Partner Coordinator - Health Department,City of Baltimore,"Street, MD",Not remote,Pay details not available,"

Maintain communication with partners and ensure contact tracing follows health department policies.
Communicate with local partners to recruit, establish, and…
"
Registered Nurse- District Health Coordinator,Crane Elementary School District 13,"Yuma, AZ",Not remote,Pay details not available,"

Serves as a district COVID-19 investigator, includes interviewing for contact tracing, review for return to school or worksite, and modification of policy or…
"
"Bilingual Nurse Investigator, RN",Arkansas Foundation for Medical Care,Arkansas,Not remote,Pay details not available,"

Provide the first point of contact for COVID-19 positive individuals.
Provide clinical advice to cases and their contacts as directed by protocols and…
"
Physician (Temporary Provider NTE 1 Year - Occupational Heal...,US Department of Veterans Affairs,"Orlando, FL",Not remote,"$185,000 - $243,000 a year","

Assisting with contact tracing and risk stratification of employee exposures associated with infectious outbreaks such as COVID-19 and the Flu.
"
Community Health Worker/ Data Coordinator - Health Departmen...,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

Key duties & responsibilities Data Collection: Serve as the point of contact for Baltimore care coordination or contact tracing data collection from community…
"
LTE-Public Health Contact Tracing Specialist,City of Menasha,"Menasha, WI 54952",Not remote,Pay details not available,"

Maintain contact with MHD staff.
Key responsibilities: Interviews clients and conducts disease investigations including contact tracing activities in accordance…
"
MEDICAL ASSISTANT - PUBLIC HEALTH MOBILE TESTING,Cook County Health & Hospitals System,"Chicago, IL",Not remote,$17.65 an hour,"

ROTATING SHIFTS: 7:00 AM – 3:00 PM; 9:00 AM - 5:00 PM; 11:00 AM - 7:00 PM (including weekends).
Under the supervision of licensed personnel, the Medical…
"
Social Work Care Coordinator - Health Department,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

Applicants who are hired for this position will undergo training that allows them to learn the fundamental principles of becoming a community health worker in…
"
Travel Nurse - Rate $55/hr - Wave Health,Wave Health Partners,Not specified,Not remote,$55.00 - $82.50 an hour,"

Nurses will have the flexibility to pick their own schedule, hours, and vacation times.
Below are some additional details for this new travel nursing…
"
Conversion and Care Coordination Manager - Health Department,City of Baltimore,"Street, MD",Not remote,Pay details not available,"

This includes managing a team of Disease Reactor Coordinators who will coordinate management of clients between case investigation, contact tracing and outbreak…
"
Community Health Worker Supervisor - Health Department,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

The CHW supervisor will also conduct contact tracing and provide public health messages as needed using approved BCHD scripts.
"
Occupational Health Nurse (RN or LPN) – Contact Tracing,Professional Staffing Group,Not specified,Not remote,Pay details not available,"

The RN or LPN will be mainly working in an administrative capacity.
Regular responsibilities will revolve around data sorting and clerical record maintenance.
"
Community Health Worker / Care Coordinator - Health Departme...,City of Baltimore,"Street, MD",Not remote,"$39,000 a year","

Applicants hired for this position will undergo training to learn the fundamental principles of becoming a community health worker in addition to understanding…
"
Community Health Nurse - COVID-19 Case Investigator (Tempora...,Ottawa County,"Holland, MI 49424",Remote,Pay details not available,"

Complete an assessment of other high-risk contacts to complete the contact investigation of household and high-risk contacts the positive case may have…
"
Public Health Nurse - COVID-19 Response,Mohave County,"Kingman, AZ 86402",Not remote,Pay details not available,"

Communicates and acts in a professional manner with the public, co-workers, and work contacts.
Communicating and maintaining professionalism (demonstrating…
"
Physician (Temporary Provider NTE 1 Year - Occupational Heal...,US Department of Veterans Affairs,"Orlando, FL",Not remote,"$185,000 - $243,000 a year","

Assisting with contact tracing and risk stratification of employee exposures associated with infectious outbreaks such as COVID-19 and the Flu.
"
Community Health Worker/ Data Coordinator - Health Departmen...,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

Key duties & responsibilities Data Collection: Serve as the point of contact for Baltimore care coordination or contact tracing data collection from community…
"
LTE-Public Health Contact Tracing Specialist,City of Menasha,"Menasha, WI 54952",Not remote,Pay details not available,"

Maintain contact with MHD staff.
Key responsibilities: Interviews clients and conducts disease investigations including contact tracing activities in accordance…
"
MEDICAL ASSISTANT - PUBLIC HEALTH MOBILE TESTING,Cook County Health & Hospitals System,"Chicago, IL",Not remote,$17.65 an hour,"

ROTATING SHIFTS: 7:00 AM – 3:00 PM; 9:00 AM - 5:00 PM; 11:00 AM - 7:00 PM (including weekends).
Under the supervision of licensed personnel, the Medical…
"
Social Work Care Coordinator - Health Department,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

Applicants who are hired for this position will undergo training that allows them to learn the fundamental principles of becoming a community health worker in…
"
Conversion and Care Coordination Manager - Health Department,City of Baltimore,"Street, MD",Not remote,Pay details not available,"

This includes managing a team of Disease Reactor Coordinators who will coordinate management of clients between case investigation, contact tracing and outbreak…
"
Community Health Worker Supervisor - Health Department,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

The CHW supervisor will also conduct contact tracing and provide public health messages as needed using approved BCHD scripts.
"
Community Health Worker / Care Coordinator - Health Departme...,City of Baltimore,"Street, MD",Not remote,"$39,000 a year","

Applicants hired for this position will undergo training to learn the fundamental principles of becoming a community health worker in addition to understanding…
"
Community Health Nurse - COVID-19 Case Investigator (Tempora...,Ottawa County,"Holland, MI 49424",Remote,Pay details not available,"

Complete an assessment of other high-risk contacts to complete the contact investigation of household and high-risk contacts the positive case may have…
"
Public Health Nurse - COVID-19 Response,Mohave County,"Kingman, AZ 86402",Not remote,Pay details not available,"

Communicates and acts in a professional manner with the public, co-workers, and work contacts.
Communicating and maintaining professionalism (demonstrating…
"
Urgent Need for Contact Tracer,Staffing Etc.,Not specified,Remote,$25 an hour,"

The Contact Tracer will work from home using a web-based platform and telephone to communicate with assigned contacts, obtain symptom information, refer…
"
Contact Tracer,Staffing Etc.,Not specified,Remote,$25 an hour,"

The Contact Tracer will work from home using a web-based platform and telephone to communicate with assigned contacts, obtain symptom information, refer…
"
LTE-Local Testing and Contact Tracing Coordinator,City of Menasha,"Menasha, WI 54952",Not remote,Pay details not available,"

Knowledge of protecting patient and close contact privacy.
The Local Testing and Contact Tracing Coordinator will scale up, train, and manage contact tracers…
"
Partner Coordinator - Health Department,City of Baltimore,"Street, MD",Not remote,Pay details not available,"

Maintain communication with partners and ensure contact tracing follows health department policies.
Communicate with local partners to recruit, establish, and…
"
Registered Nurse- District Health Coordinator,Crane Elementary School District 13,"Yuma, AZ",Not remote,Pay details not available,"

Serves as a district COVID-19 investigator, includes interviewing for contact tracing, review for return to school or worksite, and modification of policy or…
"
"Bilingual Nurse Investigator, RN",Arkansas Foundation for Medical Care,Arkansas,Not remote,Pay details not available,"

Provide the first point of contact for COVID-19 positive individuals.
Provide clinical advice to cases and their contacts as directed by protocols and…
"
Physician (Temporary Provider NTE 1 Year - Occupational Heal...,US Department of Veterans Affairs,"Orlando, FL",Not remote,"$185,000 - $243,000 a year","

Assisting with contact tracing and risk stratification of employee exposures associated with infectious outbreaks such as COVID-19 and the Flu.
"
Community Health Worker/ Data Coordinator - Health Departmen...,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

Key duties & responsibilities Data Collection: Serve as the point of contact for Baltimore care coordination or contact tracing data collection from community…
"
LTE-Public Health Contact Tracing Specialist,City of Menasha,"Menasha, WI 54952",Not remote,Pay details not available,"

Maintain contact with MHD staff.
Key responsibilities: Interviews clients and conducts disease investigations including contact tracing activities in accordance…
"
MEDICAL ASSISTANT - PUBLIC HEALTH MOBILE TESTING,Cook County Health & Hospitals System,"Chicago, IL",Not remote,$17.65 an hour,"

ROTATING SHIFTS: 7:00 AM – 3:00 PM; 9:00 AM - 5:00 PM; 11:00 AM - 7:00 PM (including weekends).
Under the supervision of licensed personnel, the Medical…
"
Social Work Care Coordinator - Health Department,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

Applicants who are hired for this position will undergo training that allows them to learn the fundamental principles of becoming a community health worker in…
"
Conversion and Care Coordination Manager - Health Department,City of Baltimore,"Street, MD",Not remote,Pay details not available,"

This includes managing a team of Disease Reactor Coordinators who will coordinate management of clients between case investigation, contact tracing and outbreak…
"
Occupational Health Nurse (RN or LPN) – Contact Tracing,Professional Staffing Group,Not specified,Not remote,Pay details not available,"

The RN or LPN will be mainly working in an administrative capacity.
Regular responsibilities will revolve around data sorting and clerical record maintenance.
"
Community Health Worker Supervisor - Health Department,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

The CHW supervisor will also conduct contact tracing and provide public health messages as needed using approved BCHD scripts.
"
Community Health Worker / Care Coordinator - Health Departme...,City of Baltimore,"Street, MD",Not remote,"$39,000 a year","

Applicants hired for this position will undergo training to learn the fundamental principles of becoming a community health worker in addition to understanding…
"
Community Health Nurse - COVID-19 Case Investigator (Tempora...,Ottawa County,"Holland, MI 49424",Remote,Pay details not available,"

Complete an assessment of other high-risk contacts to complete the contact investigation of household and high-risk contacts the positive case may have…
"
Public Health Nurse - COVID-19 Response,Mohave County,"Kingman, AZ 86402",Not remote,Pay details not available,"

Communicates and acts in a professional manner with the public, co-workers, and work contacts.
Communicating and maintaining professionalism (demonstrating…
"
Community Health Worker / Care Coordination Director - Healt...,City of Baltimore,"Street, MD",Not remote,"$80,000 a year","

The Director will also be the point of contact for all community stakeholders as well as the Baltimore City Health Department.
"
Physician (Temporary Provider NTE 1 Year - Occupational Heal...,US Department of Veterans Affairs,"Orlando, FL",Not remote,"$185,000 - $243,000 a year","

Assisting with contact tracing and risk stratification of employee exposures associated with infectious outbreaks such as COVID-19 and the Flu.
"
Registered Nurse/COVID 19 Contact Tracing & Testing-Temporar...,HPM Corporation,"Richland, WA 99354",Not remote,Pay details not available,"

Ability to conduct contact tracing per CDC, state and local health district guidelines.
Conduct contact tracing following the CDC, Washington State Department…
"
LTE-Public Health Contact Tracing Specialist,City of Menasha,"Menasha, WI 54952",Not remote,Pay details not available,"

Maintain contact with MHD staff.
Key responsibilities: Interviews clients and conducts disease investigations including contact tracing activities in accordance…
"
"Bilingual Nurse Investigator, RN",Arkansas Foundation for Medical Care,Arkansas,Not remote,Pay details not available,"

Provide the first point of contact for COVID-19 positive individuals.
Provide clinical advice to cases and their contacts as directed by protocols and…
"
LPN - Licensed Practical Nurse - Employee Health- Columbine...,Columbine Health Systems,"Fort Collins, CO 80526",Not remote,Pay details not available,"

This LPN position offers competitive pay, Monday through Friday with every other weekend on-call duty for COVID-19 Contact Tracing.
18 years of age or older.
"
Community Health Worker/ Data Coordinator - Health Departmen...,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

Key duties & responsibilities Data Collection: Serve as the point of contact for Baltimore care coordination or contact tracing data collection from community…
"
Social Work Care Coordinator - Health Department,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

Applicants who are hired for this position will undergo training that allows them to learn the fundamental principles of becoming a community health worker in…
"
Travel Nurse - Rate $55/hr - Wave Health,Wave Health Partners,Not specified,Not remote,$55.00 - $82.50 an hour,"

Nurses will have the flexibility to pick their own schedule, hours, and vacation times.
Below are some additional details for this new travel nursing…
"
Community Health Worker / Care Coordinator - Health Departme...,City of Baltimore,"Street, MD",Not remote,"$39,000 a year","

Applicants hired for this position will undergo training to learn the fundamental principles of becoming a community health worker in addition to understanding…
"
Conversion and Care Coordination Manager - Health Department,City of Baltimore,"Street, MD",Not remote,Pay details not available,"

This includes managing a team of Disease Reactor Coordinators who will coordinate management of clients between case investigation, contact tracing and outbreak…
"
Occupational Health Nurse (RN or LPN) – Contact Tracing,Professional Staffing Group,Not specified,Not remote,Pay details not available,"

The RN or LPN will be mainly working in an administrative capacity.
Regular responsibilities will revolve around data sorting and clerical record maintenance.
"
Community Health Worker Supervisor - Health Department,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

The CHW supervisor will also conduct contact tracing and provide public health messages as needed using approved BCHD scripts.
"
Community Health Nurse - COVID-19 Case Investigator (Tempora...,Ottawa County,"Holland, MI 49424",Remote,Pay details not available,"

Complete an assessment of other high-risk contacts to complete the contact investigation of household and high-risk contacts the positive case may have…
"
Public Health Nurse - COVID-19 Response,Mohave County,"Kingman, AZ 86402",Not remote,Pay details not available,"

Communicates and acts in a professional manner with the public, co-workers, and work contacts.
Communicating and maintaining professionalism (demonstrating…
"
LTE-Public Health Contact Tracing Specialist,City of Menasha,"Menasha, WI 54952",Not remote,Pay details not available,"

Maintain contact with MHD staff.
Key responsibilities: Interviews clients and conducts disease investigations including contact tracing activities in accordance…
"
"Bilingual Nurse Investigator, RN",Arkansas Foundation for Medical Care,Arkansas,Not remote,Pay details not available,"

Provide the first point of contact for COVID-19 positive individuals.
Provide clinical advice to cases and their contacts as directed by protocols and…
"
LPN - Licensed Practical Nurse - Employee Health- Columbine...,Columbine Health Systems,"Fort Collins, CO 80526",Not remote,Pay details not available,"

This LPN position offers competitive pay, Monday through Friday with every other weekend on-call duty for COVID-19 Contact Tracing.
18 years of age or older.
"
Community Health Worker/ Data Coordinator - Health Departmen...,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

Key duties & responsibilities Data Collection: Serve as the point of contact for Baltimore care coordination or contact tracing data collection from community…
"
Social Work Care Coordinator - Health Department,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

Applicants who are hired for this position will undergo training that allows them to learn the fundamental principles of becoming a community health worker in…
"
Community Health Worker / Care Coordinator - Health Departme...,City of Baltimore,"Street, MD",Not remote,"$39,000 a year","

Applicants hired for this position will undergo training to learn the fundamental principles of becoming a community health worker in addition to understanding…
"
Conversion and Care Coordination Manager - Health Department,City of Baltimore,"Street, MD",Not remote,Pay details not available,"

This includes managing a team of Disease Reactor Coordinators who will coordinate management of clients between case investigation, contact tracing and outbreak…
"
Community Health Worker Supervisor - Health Department,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

The CHW supervisor will also conduct contact tracing and provide public health messages as needed using approved BCHD scripts.
"
Community Health Nurse - COVID-19 Case Investigator (Tempora...,Ottawa County,"Holland, MI 49424",Remote,Pay details not available,"

Complete an assessment of other high-risk contacts to complete the contact investigation of household and high-risk contacts the positive case may have…
"
Public Health Nurse - COVID-19 Response,Mohave County,"Kingman, AZ 86402",Not remote,Pay details not available,"

Communicates and acts in a professional manner with the public, co-workers, and work contacts.
Communicating and maintaining professionalism (demonstrating…
"
Representantes Bilingues en Ingles y Espanol Call Center COV...,MCI Careers,Not specified,Not remote,Pay details not available,"

Complete research of beneficiary contact history and report findings to management.
Handle inbound and outbound contacts in a courteous, timely, and…
"
Contact Tracing - Volunteer Supervisor,State of CT,Not specified,Remote,Pay details not available,"

Communicating new information and policy changes to volunteer contact tracers.
Provide oversight of the volunteer contact tracers and communicating closely to…
"
Partner Coordinator - Health Department,City of Baltimore,"Street, MD",Not remote,Pay details not available,"

Maintain communication with partners and ensure contact tracing follows health department policies.
Communicate with local partners to recruit, establish, and…
"
Community Health Worker / Care Coordination Director - Healt...,City of Baltimore,"Street, MD",Not remote,"$80,000 a year","

The Director will also be the point of contact for all community stakeholders as well as the Baltimore City Health Department.
"
Physician (Temporary Provider NTE 1 Year - Occupational Heal...,US Department of Veterans Affairs,"Orlando, FL",Not remote,"$185,000 - $243,000 a year","

Assisting with contact tracing and risk stratification of employee exposures associated with infectious outbreaks such as COVID-19 and the Flu.
"
Registered Nurse/COVID 19 Contact Tracing & Testing-Temporar...,HPM Corporation,"Richland, WA 99354",Not remote,Pay details not available,"

Ability to conduct contact tracing per CDC, state and local health district guidelines.
Conduct contact tracing following the CDC, Washington State Department…
"
LTE-Public Health Contact Tracing Specialist,City of Menasha,"Menasha, WI 54952",Not remote,Pay details not available,"

Maintain contact with MHD staff.
Key responsibilities: Interviews clients and conducts disease investigations including contact tracing activities in accordance…
"
"Bilingual Nurse Investigator, RN",Arkansas Foundation for Medical Care,Arkansas,Not remote,Pay details not available,"

Provide the first point of contact for COVID-19 positive individuals.
Provide clinical advice to cases and their contacts as directed by protocols and…
"
LPN - Licensed Practical Nurse - Employee Health- Columbine...,Columbine Health Systems,"Fort Collins, CO 80526",Not remote,Pay details not available,"

This LPN position offers competitive pay, Monday through Friday with every other weekend on-call duty for COVID-19 Contact Tracing.
18 years of age or older.
"
Community Health Worker/ Data Coordinator - Health Departmen...,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

Key duties & responsibilities Data Collection: Serve as the point of contact for Baltimore care coordination or contact tracing data collection from community…
"
Social Work Care Coordinator - Health Department,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

Applicants who are hired for this position will undergo training that allows them to learn the fundamental principles of becoming a community health worker in…
"
Community Health Worker / Care Coordinator - Health Departme...,City of Baltimore,"Street, MD",Not remote,"$39,000 a year","

Applicants hired for this position will undergo training to learn the fundamental principles of becoming a community health worker in addition to understanding…
"
Conversion and Care Coordination Manager - Health Department,City of Baltimore,"Street, MD",Not remote,Pay details not available,"

This includes managing a team of Disease Reactor Coordinators who will coordinate management of clients between case investigation, contact tracing and outbreak…
"
Occupational Health Nurse (RN or LPN) – Contact Tracing,Professional Staffing Group,Not specified,Not remote,Pay details not available,"

The RN or LPN will be mainly working in an administrative capacity.
Regular responsibilities will revolve around data sorting and clerical record maintenance.
"
Community Health Worker Supervisor - Health Department,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

The CHW supervisor will also conduct contact tracing and provide public health messages as needed using approved BCHD scripts.
"
Community Health Nurse - COVID-19 Case Investigator (Tempora...,Ottawa County,"Holland, MI 49424",Remote,Pay details not available,"

Complete an assessment of other high-risk contacts to complete the contact investigation of household and high-risk contacts the positive case may have…
"
Public Health Nurse - COVID-19 Response,Mohave County,"Kingman, AZ 86402",Not remote,Pay details not available,"

Communicates and acts in a professional manner with the public, co-workers, and work contacts.
Communicating and maintaining professionalism (demonstrating…
"
Partner Coordinator - Health Department,City of Baltimore,"Street, MD",Not remote,Pay details not available,"

Maintain communication with partners and ensure contact tracing follows health department policies.
Communicate with local partners to recruit, establish, and…
"
Community Health Worker / Care Coordination Director - Healt...,City of Baltimore,"Street, MD",Not remote,"$80,000 a year","

The Director will also be the point of contact for all community stakeholders as well as the Baltimore City Health Department.
"
Physician (Temporary Provider NTE 1 Year - Occupational Heal...,US Department of Veterans Affairs,"Orlando, FL",Not remote,"$185,000 - $243,000 a year","

Assisting with contact tracing and risk stratification of employee exposures associated with infectious outbreaks such as COVID-19 and the Flu.
"
Registered Nurse/COVID 19 Contact Tracing & Testing-Temporar...,HPM Corporation,"Richland, WA 99354",Not remote,Pay details not available,"

Ability to conduct contact tracing per CDC, state and local health district guidelines.
Conduct contact tracing following the CDC, Washington State Department…
"
LTE-Public Health Contact Tracing Specialist,City of Menasha,"Menasha, WI 54952",Not remote,Pay details not available,"

Maintain contact with MHD staff.
Key responsibilities: Interviews clients and conducts disease investigations including contact tracing activities in accordance…
"
"Bilingual Nurse Investigator, RN",Arkansas Foundation for Medical Care,Arkansas,Not remote,Pay details not available,"

Provide the first point of contact for COVID-19 positive individuals.
Provide clinical advice to cases and their contacts as directed by protocols and…
"
LPN - Licensed Practical Nurse - Employee Health- Columbine...,Columbine Health Systems,"Fort Collins, CO 80526",Not remote,Pay details not available,"

This LPN position offers competitive pay, Monday through Friday with every other weekend on-call duty for COVID-19 Contact Tracing.
18 years of age or older.
"
Community Health Worker/ Data Coordinator - Health Departmen...,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

Key duties & responsibilities Data Collection: Serve as the point of contact for Baltimore care coordination or contact tracing data collection from community…
"
Social Work Care Coordinator - Health Department,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

Applicants who are hired for this position will undergo training that allows them to learn the fundamental principles of becoming a community health worker in…
"
Community Health Worker / Care Coordinator - Health Departme...,City of Baltimore,"Street, MD",Not remote,"$39,000 a year","

Applicants hired for this position will undergo training to learn the fundamental principles of becoming a community health worker in addition to understanding…
"
Occupational Health Nurse (RN or LPN) – Contact Tracing,Professional Staffing Group,Not specified,Not remote,Pay details not available,"

The RN or LPN will be mainly working in an administrative capacity.
Regular responsibilities will revolve around data sorting and clerical record maintenance.
"
Conversion and Care Coordination Manager - Health Department,City of Baltimore,"Street, MD",Not remote,Pay details not available,"

This includes managing a team of Disease Reactor Coordinators who will coordinate management of clients between case investigation, contact tracing and outbreak…
"
Community Health Worker Supervisor - Health Department,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

The CHW supervisor will also conduct contact tracing and provide public health messages as needed using approved BCHD scripts.
"
Community Health Nurse - COVID-19 Case Investigator (Tempora...,Ottawa County,"Holland, MI 49424",Remote,Pay details not available,"

Complete an assessment of other high-risk contacts to complete the contact investigation of household and high-risk contacts the positive case may have…
"
Public Health Nurse - COVID-19 Response,Mohave County,"Kingman, AZ 86402",Not remote,Pay details not available,"

Communicates and acts in a professional manner with the public, co-workers, and work contacts.
Communicating and maintaining professionalism (demonstrating…
"
LTE-Local Testing and Contact Tracing Coordinator,City of Menasha,"Menasha, WI 54952",Not remote,Pay details not available,"

Knowledge of protecting patient and close contact privacy.
The Local Testing and Contact Tracing Coordinator will scale up, train, and manage contact tracers…
"
Partner Coordinator - Health Department,City of Baltimore,"Street, MD",Not remote,Pay details not available,"

Maintain communication with partners and ensure contact tracing follows health department policies.
Communicate with local partners to recruit, establish, and…
"
Registered Nurse- District Health Coordinator,Crane Elementary School District 13,"Yuma, AZ",Not remote,Pay details not available,"

Serves as a district COVID-19 investigator, includes interviewing for contact tracing, review for return to school or worksite, and modification of policy or…
"
"Bilingual Nurse Investigator, RN",Arkansas Foundation for Medical Care,Arkansas,Not remote,Pay details not available,"

Provide the first point of contact for COVID-19 positive individuals.
Provide clinical advice to cases and their contacts as directed by protocols and…
"
Physician (Temporary Provider NTE 1 Year - Occupational Heal...,US Department of Veterans Affairs,"Orlando, FL",Not remote,"$185,000 - $243,000 a year","

Assisting with contact tracing and risk stratification of employee exposures associated with infectious outbreaks such as COVID-19 and the Flu.
"
Community Health Worker/ Data Coordinator - Health Departmen...,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

Key duties & responsibilities Data Collection: Serve as the point of contact for Baltimore care coordination or contact tracing data collection from community…
"
LTE-Public Health Contact Tracing Specialist,City of Menasha,"Menasha, WI 54952",Not remote,Pay details not available,"

Maintain contact with MHD staff.
Key responsibilities: Interviews clients and conducts disease investigations including contact tracing activities in accordance…
"
MEDICAL ASSISTANT - PUBLIC HEALTH MOBILE TESTING,Cook County Health & Hospitals System,"Chicago, IL",Not remote,$17.65 an hour,"

ROTATING SHIFTS: 7:00 AM – 3:00 PM; 9:00 AM - 5:00 PM; 11:00 AM - 7:00 PM (including weekends).
Under the supervision of licensed personnel, the Medical…
"
Social Work Care Coordinator - Health Department,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

Applicants who are hired for this position will undergo training that allows them to learn the fundamental principles of becoming a community health worker in…
"
Conversion and Care Coordination Manager - Health Department,City of Baltimore,"Street, MD",Not remote,Pay details not available,"

This includes managing a team of Disease Reactor Coordinators who will coordinate management of clients between case investigation, contact tracing and outbreak…
"
Community Health Worker Supervisor - Health Department,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

The CHW supervisor will also conduct contact tracing and provide public health messages as needed using approved BCHD scripts.
"
Occupational Health Nurse (RN or LPN) – Contact Tracing,Professional Staffing Group,Not specified,Not remote,Pay details not available,"

The RN or LPN will be mainly working in an administrative capacity.
Regular responsibilities will revolve around data sorting and clerical record maintenance.
"
Community Health Worker / Care Coordinator - Health Departme...,City of Baltimore,"Street, MD",Not remote,"$39,000 a year","

Applicants hired for this position will undergo training to learn the fundamental principles of becoming a community health worker in addition to understanding…
"
Community Health Nurse - COVID-19 Case Investigator (Tempora...,Ottawa County,"Holland, MI 49424",Remote,Pay details not available,"

Complete an assessment of other high-risk contacts to complete the contact investigation of household and high-risk contacts the positive case may have…
"
Public Health Nurse - COVID-19 Response,Mohave County,"Kingman, AZ 86402",Not remote,Pay details not available,"

Communicates and acts in a professional manner with the public, co-workers, and work contacts.
Communicating and maintaining professionalism (demonstrating…
"
LTE-Local Testing and Contact Tracing Coordinator,City of Menasha,"Menasha, WI 54952",Not remote,Pay details not available,"

Knowledge of protecting patient and close contact privacy.
The Local Testing and Contact Tracing Coordinator will scale up, train, and manage contact tracers…
"
Partner Coordinator - Health Department,City of Baltimore,"Street, MD",Not remote,Pay details not available,"

Maintain communication with partners and ensure contact tracing follows health department policies.
Communicate with local partners to recruit, establish, and…
"
Registered Nurse- District Health Coordinator,Crane Elementary School District 13,"Yuma, AZ",Not remote,Pay details not available,"

Serves as a district COVID-19 investigator, includes interviewing for contact tracing, review for return to school or worksite, and modification of policy or…
"
"Bilingual Nurse Investigator, RN",Arkansas Foundation for Medical Care,Arkansas,Not remote,Pay details not available,"

Provide the first point of contact for COVID-19 positive individuals.
Provide clinical advice to cases and their contacts as directed by protocols and…
"
Physician (Temporary Provider NTE 1 Year - Occupational Heal...,US Department of Veterans Affairs,"Orlando, FL",Not remote,"$185,000 - $243,000 a year","

Assisting with contact tracing and risk stratification of employee exposures associated with infectious outbreaks such as COVID-19 and the Flu.
"
Community Health Worker/ Data Coordinator - Health Departmen...,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

Key duties & responsibilities Data Collection: Serve as the point of contact for Baltimore care coordination or contact tracing data collection from community…
"
LTE-Public Health Contact Tracing Specialist,City of Menasha,"Menasha, WI 54952",Not remote,Pay details not available,"

Maintain contact with MHD staff.
Key responsibilities: Interviews clients and conducts disease investigations including contact tracing activities in accordance…
"
MEDICAL ASSISTANT - PUBLIC HEALTH MOBILE TESTING,Cook County Health & Hospitals System,"Chicago, IL",Not remote,$17.65 an hour,"

ROTATING SHIFTS: 7:00 AM – 3:00 PM; 9:00 AM - 5:00 PM; 11:00 AM - 7:00 PM (including weekends).
Under the supervision of licensed personnel, the Medical…
"
Social Work Care Coordinator - Health Department,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

Applicants who are hired for this position will undergo training that allows them to learn the fundamental principles of becoming a community health worker in…
"
Conversion and Care Coordination Manager - Health Department,City of Baltimore,"Street, MD",Not remote,Pay details not available,"

This includes managing a team of Disease Reactor Coordinators who will coordinate management of clients between case investigation, contact tracing and outbreak…
"
Occupational Health Nurse (RN or LPN) – Contact Tracing,Professional Staffing Group,Not specified,Not remote,Pay details not available,"

The RN or LPN will be mainly working in an administrative capacity.
Regular responsibilities will revolve around data sorting and clerical record maintenance.
"
Community Health Worker Supervisor - Health Department,City of Baltimore,"Street, MD",Not remote,"$55,000 a year","

The CHW supervisor will also conduct contact tracing and provide public health messages as needed using approved BCHD scripts.
"
Community Health Worker / Care Coordinator - Health Departme...,City of Baltimore,"Street, MD",Not remote,"$39,000 a year","

Applicants hired for this position will undergo training to learn the fundamental principles of becoming a community health worker in addition to understanding…
"
Community Health Nurse - COVID-19 Case Investigator (Tempora...,Ottawa County,"Holland, MI 49424",Remote,Pay details not available,"

Complete an assessment of other high-risk contacts to complete the contact investigation of household and high-risk contacts the positive case may have…
"
Public Health Nurse - COVID-19 Response,Mohave County,"Kingman, AZ 86402",Not remote,Pay details not available,"

Communicates and acts in a professional manner with the public, co-workers, and work contacts.
Communicating and maintaining professionalism (demonstrating…
"
Community Health Worker / Care Coordination Director - Healt...,City of Baltimore,"Street, MD",Not remote,"$80,000 a year","

The Director will also be the point of contact for all community stakeholders as well as the Baltimore City Health Department.
"
Physician (Temporary Provider NTE 1 Year - Occupational Heal...,US Department of Veterans Affairs,"Orlando, FL",Not remote,"$185,000 - $243,000 a year","

Assisting with contact tracing and risk stratification of employee exposures associated with infectious outbreaks such as COVID-19 and the Flu.
"
